idmedicamento,nombremedicamento,nombrelaboratorio,concentracion,princioactivo,acccionterapeutica,precioconvenio,precioLista,idFarmacia,nombrefarmacia,fecha_proceso
23056,2 UNIDADES EXCELLENCE N7.11 RUBIO CENIZA PROFUNDO ESTU.,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23058,2 UNIDADES EXCELLENCE N6.7 CHOCOLATE PURO ESTU.,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23059,2 UNIDADES EXCELLENCE N6.1 RUBIO OSCURO CENIZA ESTU.,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23060,2 UNIDADES EXCELLENCE N6.17 R.OSCURO CENIZO MATTE,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23065,2 UNIDADES EXCELLENCE N6.11 RUBIO OSCURO CENIZA PROFUNDO ESTU,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23068,2 UNIDADES EXCELLENCE N6.111 CENIZO MAT SUPREME,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23070,2 UNIDADES EXCELLENCE N6.34 RUBIO OSCURO CENIZA DORADO ESTU.,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23078,2 UNIDADES EXCELLENCE N6660 ROJO EXT.PROFUNDO,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23055,2 UNIDADES EXCELLENCE N8 RUBIO CLARO NATU. ESTU.,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23061,2 UNIDADES EXCELLENCE N8.1 RUBIO CLARO CENIZA ESTU.,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23062,2 UNIDADES EXCELLENCE N7.17 R.CENIZO MATTE,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23063,2 UNIDADES EXCELLENCE N9.1 RUBIO CLARO CENIZA ESTU.,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23064,2 UNIDADES EXCELLENCE N9.17 R.MUY CLARO CENIZO MATTE,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23066,2 UNIDADES EXCELLENCE TINT.N3 CASTAÃ‘O OSCURO,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23067,2 UNIDADES EXCELLENCE N8.17 R.CLARO CENIZO MATTE,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23069,2 UNIDADES EXCELLENCE TINT.N2.0 NEGRO PROFUNDO,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23071,2 UNIDADES EXCELLENCE N8.11 RUBIO CLARO CENIZA PROFUNDO ESTU.,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23075,2 UNIDADES EXCELLENCE N9 RUBIO CLARO ESTU.,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23311,2 UNIDADES NUTRISSE COR N10 NEGRO INTENSO,LOREAL CHILE S.A.,,,TINTURAS,5180,,2,SALCOBRAND,2023-01-20
23312,2 UNIDADES NUTRISSE COR N66 ROJO INTENSO,LOREAL CHILE S.A.,,,TINTURAS,5180,,2,SALCOBRAND,2023-01-20
23314,2 UNIDADES NUTRISSE COR N50 CASTANO CLARO,LOREAL CHILE S.A.,,,TINTURAS,5180,,2,SALCOBRAND,2023-01-20
23315,2 UNIDADES NUTRISSE COR N60 RUBIO MEDIO,LOREAL CHILE S.A.,,,TINTURAS,5180,,2,SALCOBRAND,2023-01-20
23318,2 UNIDADES NUTRISSE COR N30 CASTANO OSCURO,LOREAL CHILE S.A.,,,TINTURAS,5180,,2,SALCOBRAND,2023-01-20
23319,2 UNIDADES NUTRISSE COR N40 CASTANO MEDIO,LOREAL CHILE S.A.,,,TINTURAS,5180,,2,SALCOBRAND,2023-01-20
23322,2 UNIDADES NUTRISSE COR N6.1 RUBIO OSCURO,LOREAL CHILE S.A.,,,TINTURAS,5180,,2,SALCOBRAND,2023-01-20
23325,2 UNIDADES NUTRISSE COR INTENSA TINTURA N6.75,LOREAL CHILE S.A.,,,TINTURAS,5180,,2,SALCOBRAND,2023-01-20
23326,2 UNIDADES NUTRISSE COR N635 CHOCOLATE NATURAL,LOREAL CHILE S.A.,,,TINTURAS,5180,,2,SALCOBRAND,2023-01-20
23072,2 UNIDADES EXCELLENCE TINT.N6.12 R.OSCURO CENIZO PERLA,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23313,2 UNIDADES NUTRISSE COR N67 CHOCOLATE,LOREAL CHILE S.A.,,,TINTURAS,5180,,2,SALCOBRAND,2023-01-20
23316,2 UNIDADES NUTRISSE COR N71 RUBIO CENIZA,LOREAL CHILE S.A.,,,TINTURAS,5180,,2,SALCOBRAND,2023-01-20
23317,2 UNIDADES NUTRISSE COR N70 RUBIO MEDIO,LOREAL CHILE S.A.,,,TINTURAS,5180,,2,SALCOBRAND,2023-01-20
23320,2 UNIDADES NUTRISSE COR N80 RUBIO CLARO,LOREAL CHILE S.A.,,,TINTURAS,5180,,2,SALCOBRAND,2023-01-20
23321,2 UNIDADES NUTRISSE COR N81 RUBIO CLARO CENIZA,LOREAL CHILE S.A.,,,TINTURAS,5180,,2,SALCOBRAND,2023-01-20
23323,2 UNIDADES NUTRISSE COR.INT.N6.66 ROJO PASION,LOREAL CHILE S.A.,,,TINTURAS,5180,,2,SALCOBRAND,2023-01-20
23324,2 UNIDADES NUTRISSE COR N77 CASTANO CARAMELO,LOREAL CHILE S.A.,,,TINTURAS,5180,,2,SALCOBRAND,2023-01-20
23327,2 UNIDADES NUTRISSE COR N73 RUBIO DORADO,LOREAL CHILE S.A.,,,TINTURAS,5180,,2,SALCOBRAND,2023-01-20
15863,ABACTEN 200MG/5ML. SUSP. FCO. 30ML.,,,AZITROMICINA,,14254,14695.0,1,AHUMADA,2023-01-20
15875,ABACTEN 500MG. CAJA 6 COMP.,,,AZITROMICINA,,21335,21995.0,1,AHUMADA,2023-01-20
13151,AC.MEFENAMICO 500MG X10COM.,LABORATORIO CHILE,,ACIDO MEFENAMICO,PRODUCTOS ANTIINFLAMATORIOS Y ANTIRREUMATICOS,990,1799,2,SALCOBRAND,2023-01-20
13254,AC. ACETILSALICILICO (B) 100MG X100COM,LABORATORIO CHILE,,ACIDO ACETILSALICILICO,ANTITROMBOTICOS,2475,4499,2,SALCOBRAND,2023-01-20
13544,ABECIDIN ACD GTAS.X30ML,PASTEUR,,ACIDO ASCORBICO / COLECALCIFEROL / RETINOL,VITAMINAS,5784,8899,2,SALCOBRAND,2023-01-20
16579,ABECIDIN GTS. FCO. 30ML.,,,ASCORBICO ACIDO + COLECALCIFEROL + RETINOL,,7280,9445,1,AHUMADA,2023-01-20
16682,"ABIOSTAL ODT 2,5MG.CAJA 10 COMP. DISP.",,,NARATRIPTAN,,11926,12295,1,AHUMADA,2023-01-20
16675,ABETAL ODT CAJA 40MG. 2 COMP.,,,ELETRIPTANO,,13575,13995,1,AHUMADA,2023-01-20
15866,ABACTEN FORTE 400MG/5ML FCO. 30ML+SOL.,,,AZITROMICINA,,14885,15345,1,AHUMADA,2023-01-20
16678,ABETAL ODT CAJA 40MG. 6 COMP. DISP.,,,ELETRIPTANO,,20753,21395,1,AHUMADA,2023-01-20
14967,ACANTEX 1GR. CAJA 1 VIAL I.V.,,,CEFTRIAXONA,,33091,34295,1,AHUMADA,2023-01-20
13324,ABIRAVITAE 250MG X120COM.,GALENICUM HEALTH CHILE SPA,,ACETATO DE ABIRATERONA,TERAPIA ENDOCRINA,798059,1330099,2,SALCOBRAND,2023-01-20
23387,ACCU CHEK FASTCLIX X24 LANCETAS,ROCHE DIAGNOSTICA,,LANCETAS PARA TEST DE GLUCOSA EN SANGRE,TEST DE DIAGNOSTICO,5224,9499,2,SALCOBRAND,2023-01-20
23384,ACCU CHEK LANCETERO FASTCLICK,ROCHE DIAGNOSTICA,,LANCETERO PARA TEST DE GLUCOSA EN SANGRE,TEST DE DIAGNOSTICO,8084,14699,2,SALCOBRAND,2023-01-20
23383,ACCU CHEK INSTANT X25CINTAS,ROCHE DIAGNOSTICA,,CINTAS REACTIVAS PARA TEST DE GLUCOSA EN SANGRE,EQUIPOS DE DIAGNOSTICO Y ACCESORIOS,12319,22399,2,SALCOBRAND,2023-01-20
23382,ACCU CHEK INSTANT KIT,ROCHE DIAGNOSTICA,,KIT TEST DIAGNOSTICO GLUCOSA EN SANGRE,EQUIPOS DE DIAGNOSTICO Y ACCESORIOS,14024,25499,2,SALCOBRAND,2023-01-20
23381,ACCU CHEK PERFORMA X25CINTAS,ROCHE DIAGNOSTICA,,CINTAS REACTIVAS PARA TEST DE GLUCOSA EN SANGRE,TEST DE DIAGNOSTICO,17324,31499,2,SALCOBRAND,2023-01-20
23380,ACCU CHEK FASTCLIX X102 LANCETAS,ROCHE DIAGNOSTICA,,LANCETAS PARA TEST DE GLUCOSA EN SANGRE,EQUIPOS DE DIAGNOSTICO Y ACCESORIOS,17929,32599,2,SALCOBRAND,2023-01-20
23379,ACCU CHEK GUIDE X25CINTAS,ROCHE DIAGNOSTICA,,CINTAS REACTIVAS PARA TEST DE GLUCOSA EN SANGRE,EQUIPOS DE DIAGNOSTICO Y ACCESORIOS,18424,33499,2,SALCOBRAND,2023-01-20
23378,ACCU CHEK INSTANT X50CINTAS,ROCHE DIAGNOSTICA,,CINTAS REACTIVAS PARA TEST DE GLUCOSA EN SANGRE,EQUIPOS DE DIAGNOSTICO Y ACCESORIOS,22109,40199,2,SALCOBRAND,2023-01-20
23377,ACCU CHEK GUIDE MONITOR,ROCHE DIAGNOSTICA,,KIT TEST DIAGNOSTICO GLUCOSA EN SANGRE,EQUIPOS DE DIAGNOSTICO Y ACCESORIOS,22549,40999,2,SALCOBRAND,2023-01-20
23375,ACCU CHEK GUIDE X50CINTAS,ROCHE DIAGNOSTICA,,CINTAS REACTIVAS PARA TEST DE GLUCOSA EN SANGRE,EQUIPOS DE DIAGNOSTICO Y ACCESORIOS,25409,46199,2,SALCOBRAND,2023-01-20
23386,ACCU CHEK SOFTCLIX X25LANCETAS,ROCHE DIAGNOSTICA,,LANCETAS PARA TEST DE GLUCOSA EN SANGRE,EQUIPOS DE DIAGNOSTICO Y ACCESORIOS,3244,5899,2,SALCOBRAND,2023-01-20
23385,ACCU CHEK SOFTCLIX LANCETERO,ROCHE DIAGNOSTICA,,LANCETERO PARA TEST DE GLUCOSA EN SANGRE,EQUIPOS DE DIAGNOSTICO Y ACCESORIOS,7259,13199,2,SALCOBRAND,2023-01-20
23577,ACEITE DE MASAJES DE VIENTRE X60ML,MEDCELL HELTY,,0,OTROS FARMACOS QUE ACTUAN SOBRE EL SNC,7439,9299,2,SALCOBRAND,2023-01-20
23549,ACEITE DE ALMENDRAS MASAJE X125ML,MEDCELL HELTY,,0,PREPARADOS PARA EL TRATAMIENTO DE HERIDAS Y ULCERAS,7999,9999,2,SALCOBRAND,2023-01-20
23488,ACEITE DE KRILL 500MG X30CAP.,VITAMIN LIFE,,MONTELUKAST,AGENTES MODIFICADORES DE LOS LIPIDOS,11999,14999,2,SALCOBRAND,2023-01-20
14227,ACEBRON (B) 4MG X20COM.,RECALCINE,,ACENOCUMAROL,ANTITROMBOTICOS,18109,19999,2,SALCOBRAND,2023-01-20
14878,ACEBRON 4MG. CAJA 20 COMP.,,,ACENOCUMAROL,,20462,21095,1,AHUMADA,2023-01-20
16692,ACECNOU 1 SOBRES 3GR.,,,BETAMETASONA + LIDOCAINA + NEOMICINA + POLIMIXINA B,,22996,28795,1,AHUMADA,2023-01-20
23376,ACCU CHEK PERFORMA X50CINTAS,ROCHE DIAGNOSTICA,,CINTAS REACTIVAS PARA TEST DE GLUCOSA EN SANGRE,EQUIPOS DE DIAGNOSTICO Y ACCESORIOS,25409,46199,2,SALCOBRAND,2023-01-20
23374,ACCU CHEK SOFTCLIX X200LANCETAS,ROCHE DIAGNOSTICA,,LANCETAS PARA TEST DE GLUCOSA EN SANGRE,EQUIPOS DE DIAGNOSTICO Y ACCESORIOS,27004,49099,2,SALCOBRAND,2023-01-20
13117,ACEITE RICINO PURO X20G,BYB FARMACEUTICA,,ACEITE DE RICINO,LAXANTES,1320,2399,2,SALCOBRAND,2023-01-20
13259,ACICLOVIR (B) 200MG X25COM.,LABORATORIO CHILE,,ACICLOVIR,ANTIVIRALES USO SISTEMICO,2365,4299,2,SALCOBRAND,2023-01-20
13052,ACETAZOLAMIDA 250MG X20COM.,LABORATORIO CHILE,,ACETAZOLAMIDA,DIURETICOS,3190,5799,2,SALCOBRAND,2023-01-20
16102,ACEMUK 100MG./5ML. JBE. FCO. 100ML.,,,ACETILCISTEINA,,8010,9795,1,AHUMADA,2023-01-20
16540,"ACEPRAN 2,5MG. FCO. 10ML.",,,CLONAZEPAM,,11829,12195,1,AHUMADA,2023-01-20
14632,ACERDIL 5MG. CAJA 30 COMP.,,,LISINOPRIL,,13525,14495,1,AHUMADA,2023-01-20
16580,ACEVIT GOTAS FCO. 30ML.,,,ASCORBICO ACIDO + COLECALCIFEROL + RETINOL,,18002,18495,1,AHUMADA,2023-01-20
14629,ACERDIL 10MG. CAJA 30 COMP.,,,LISINOPRIL,,24662,26195,1,AHUMADA,2023-01-20
14631,ACERDIL 20MG. CAJA 30 COMP.,,,LISINOPRIL,,35174,37995,1,AHUMADA,2023-01-20
14588,ACERDIL-D CAJA 30 COMP.,,,HIDROCLOROTIAZIDA + LISINOPRIL,,35381,36495,1,AHUMADA,2023-01-20
13146,ACICLOVIR 5% CR.X5G,LABORATORIO CHILE,,ACICLOVIR,ANTIBIOTICOS Y QUIMIOTERAPICOS PARA USO DERMATOLOGICO,990,1799,2,SALCOBRAND,2023-01-20
13102,ACICLOVIR 5% CR.X15G,LABORATORIO CHILE,,ACICLOVIR,ANTIBIOTICOS Y QUIMIOTERAPICOS PARA USO DERMATOLOGICO,1485,2699,2,SALCOBRAND,2023-01-20
16630,ACICLOVIR 5% CRM.POMO 15GR,,,ACICLOVIR,,1555,1945,1,AHUMADA,2023-01-20
16624,ACICLOVIR 200MG. CAJA 25 COMP.,,,ACICLOVIR,,3117,3295,1,AHUMADA,2023-01-20
13633,ACICLOVIR (B) 400MG X35COM.,LABORATORIO CHILE,,ACICLOVIR,ANTIVIRALES USO SISTEMICO,4510,8199,2,SALCOBRAND,2023-01-20
16629,ACICLOVIR 400MG. CAJA 35 COMP.,,,ACICLOVIR,,6864,7595,1,AHUMADA,2023-01-20
16069,ACIDO MEFENAMICO 500MG. CAJA 10 COMP.,,,MEFENAMICO ACIDO,,1348,1545,1,AHUMADA,2023-01-20
13087,ACIDO FOLICO 1MG X30COM.,BYB FARMACEUTICA,,ACIDO FOLICO,ANTIANEMICOS,1705,3099,2,SALCOBRAND,2023-01-20
13274,ACIDO FOLICO 5MG X30COM.,BYB FARMACEUTICA,,ACIDO FOLICO,ANTIANEMICOS,1980,3599,2,SALCOBRAND,2023-01-20
13634,ACIDO VALPROICO 200MG X30COM.,ANDROMACO FARMA,,ACIDO VALPROICO,ANTIEPILEPTICOS,4455,8099,2,SALCOBRAND,2023-01-20
13632,ACIDO VALPROICO 250MG X20COM.REC,ANDROMACO FARMA,,ACIDO VALPROICO,ANTIEPILEPTICOS,4675,8499,2,SALCOBRAND,2023-01-20
13629,ACIDO VALPROICO 500MG X30COM.,ANDROMACO FARMA,,ACIDO VALPROICO,ANTIEPILEPTICOS,4785,8699,2,SALCOBRAND,2023-01-20
14926,ACIDO VALPROICO 500MG.X 30COMP.REC.,,,VALPROICO ACIDO,,7905,8645,1,AHUMADA,2023-01-20
14925,ACIDO VALPROICO 375 MG/ML GTS.FCO 25ML,,,VALPROICO ACIDO,,8143,8395,1,AHUMADA,2023-01-20
13012,ACIDO ZOLEDRONICO 4 MG/5ML CAJ 1 FAM,BPH S.A,,ACIDO ZOLEDRONICO,FARMACOS PARA EL TRATAMIENTO DE ENFERMEDADES OSEAS,11550,20999,2,SALCOBRAND,2023-01-20
15622,ACOTOL CAJA 28 COMP. REC.,,,DIENOGEST + ESTRADIOL,,10829,16295,1,AHUMADA,2023-01-20
14288,ACOTOL (B) X28COM.REC.,RECALCINE,,DIENOGEST / ETINILESTRADIOL,HORMONAS SEXUALES Y MODULADORES GENITALES,13727,15599,2,SALCOBRAND,2023-01-20
15447,ACTAN 20MG. CAJA 30 CAP.,,,FLUOXETINA,,20916,24195,1,AHUMADA,2023-01-20
13723,ACNOTIN (B) 10MG X30CAP.BLANDAS,BAGO,,ISOTRETINOINA,ANTIACNEICOS,25999,32499,2,SALCOBRAND,2023-01-20
15450,ACTAN 20MG. CAJA 60 CAP.,,,FLUOXETINA,,36423,40795,1,AHUMADA,2023-01-20
13887,ACNOTIN (B) 20MG X30CAP.BLANDAS,BAGO,,ISOTRETINOINA,ANTIACNEICOS,41919,52399,2,SALCOBRAND,2023-01-20
16488,ACNERAL 20MG. CAJA 30 CAP. BLANDAS,,,ISOTRETINOINA,,42966,44295,1,AHUMADA,2023-01-20
16157,ACIDO ZOLEDRONICO 4MG/5ML 1AMP.,,,ACIDO ZOLEDRONICO,,72745,74995,1,AHUMADA,2023-01-20
16156,ACLASTA 5MG/100ML SOL. INY.,,,ACIDO ZOLEDRONICO,,324081,420295,1,AHUMADA,2023-01-20
13703,ACLASTA 5MG/100ML X1VIAL,NOVARTIS CHILE S.A.,,ACIDO ZOLEDRONICO,FARMACOS PARA EL TRATAMIENTO DE ENFERMEDADES OSEAS,330457,414299,2,SALCOBRAND,2023-01-20
13596,ACTRAPID HM 100UI/ML 10ML X1F-A,NOVONORDISK,,INSULINA HUMANA,FARMACOS EN DIABETES,24779,35399,2,SALCOBRAND,2023-01-20
15660,ACTIVELLE CAJA 28 COMP.,,,ESTRADIOL + NORETISTERONA,,30356,31295,1,AHUMADA,2023-01-20
15704,"ACTISER-T 2,5GR.T 1% VIA PERCUT.30 SACH.",,,TESTOSTERONA,,31229,32195,1,AHUMADA,2023-01-20
15705,"ACTISER-T 5,0GR.T 1% VIA PERCUT.30 SACH.",,,TESTOSTERONA,,34818,35895,1,AHUMADA,2023-01-20
14791,ACTIGERON 500MG. CAJA 30 COMP.REC.,,,ACETIL-L-CARNITINA,,40585,41695,1,AHUMADA,2023-01-20
13576,ACTRAPID HM 100UI/ML PENFILL 3ML X5F-A,NOVONORDISK,,INSULINA HUMANA,FARMACOS EN DIABETES,41299,58999,2,SALCOBRAND,2023-01-20
16376,ACTEMRA 80MG/4ML.1 FCO.AMP.,,,TOCILIZUMAB,,128229,132195,1,AHUMADA,2023-01-20
16895,ACTEMRA 200MG/10ML.1 FCO.AMP,,,TOCILIZUMAB,,299143,308395,1,AHUMADA,2023-01-20
16375,ACTEMRA 400MG/20ML.1 FCO.AMP.,,,TOCILIZUMAB,,641311,661145,1,AHUMADA,2023-01-20
16374,"ACTEMRA 162MG/0,9ML 4 JERINGA PRELLENADA",,,TOCILIZUMAB,,873383,900395,1,AHUMADA,2023-01-20
14406,ACTRON (R) 400MG X10CAP.BLANDAS,BAYER OTC,,IBUPROFENO,PRODUCTOS ANTIINFLAMATORIOS Y ANTIRREUMATICOS,3959,4299,2,SALCOBRAND,2023-01-20
15999,ACTRON 600MG. CAJA 10 CAP.BL.,,,IBUPROFENO,,6203,6395,1,AHUMADA,2023-01-20
16590,ACUODE 50.000 UI X 2 SACHET,,,COLECALCIFEROL,,15086,17295,1,AHUMADA,2023-01-20
14795,ADAX 0.50MG. CAJA 30 COMP,,,ALPRAZOLAM,,15607,17695,1,AHUMADA,2023-01-20
14028,"ADAX (B) 0,5MG X30COM.",SAVAL S.A.,,ALPRAZOLAM,PSICOLEPTICOS,16631,18899,2,SALCOBRAND,2023-01-20
16759,ADALAT OROS 20MG. CAJA 30 COMP.,,,NIFEDIPINO,,17455,17995,1,AHUMADA,2023-01-20
15004,ADAPAC 0.1 % GEL DERM. POMO 30GR.,,,ADAPALENO,,18313,21395,1,AHUMADA,2023-01-20
16889,ACULAR LS SOLUCION OFTALMICA 0.4% 5ML.,,,KETOROLACO,,29138,33495,1,AHUMADA,2023-01-20
16761,ADALAT OROS 60MG. CAJA 20 COMP.,,,NIFEDIPINO,,36758,37895,1,AHUMADA,2023-01-20
16760,ADALAT OROS 30MG. CAJA 30 COMP.,,,NIFEDIPINO,,42578,43895,1,AHUMADA,2023-01-20
13276,AERIUS (B) 2.5MG/5ML S.O X150ML,MSD- ORGANON,,DESLORATADINA,ANTIHISTAMINICOS PARA USO SISTEMICO,7755,14099,2,SALCOBRAND,2023-01-20
13195,AERIUS (R) 5MG X30COM.,MSD- ORGANON,,DESLORATADINA,ANTIHISTAMINICOS PARA USO SISTEMICO,7942,20899,2,SALCOBRAND,2023-01-20
15921,AERIUS 2.5MG./5ML SLN. ORAL FCO. 120ML.,,,DESLORATADINA,,8065,13295,1,AHUMADA,2023-01-20
14946,ADORMIX 10MG.  CAJA 30 COMP.REC.,,,ZOLPIDEM,,9846,28695,1,AHUMADA,2023-01-20
14797,ADAX 1MG. CAJA 30 COMP.,,,ALPRAZOLAM,,17948,21895,1,AHUMADA,2023-01-20
15880,ADROXEF POLVO P/SUSP.250MG./5ML. 100ML.,,,CEFADROXILO,,22372,29995,1,AHUMADA,2023-01-20
15887,ADROXEF 500MG. CAJA 14 CAP.,,,CEFUROXIMA,,25807,33695,1,AHUMADA,2023-01-20
13823,ADROXEF (B) 500MG X14CAP.,LABORATORIO CHILE,,CEFADROXILO,ANTIBACTERIANOS PARA USO SISTEMICO,28951,32899,2,SALCOBRAND,2023-01-20
15883,ADROXEF 500MG./5ML. P/SUSP X 100ML.,,,CEFADROXILO,,30177,40395,1,AHUMADA,2023-01-20
14245,ADROXEF 500MG/5ML S.O.X100ML,LABORATORIO CHILE,,CEFADROXILO,ANTIBACTERIANOS PARA USO SISTEMICO,33703,38299,2,SALCOBRAND,2023-01-20
16880,AERIUS 5MG. CAJA 30 COMP.,,,DESLORATADINA,,8302,22045,1,AHUMADA,2023-01-20
13286,AERIUS 2.5MG/5ML JB X120ML,MSD- ORGANON,,DESLORATADINA,ANTIHISTAMINICOS PARA USO SISTEMICO,9557,16699,2,SALCOBRAND,2023-01-20
15217,AEROGASTROL CAJA 20 CAP.,,,CLORDIAZEPOXIDO + METOCLOPRAMIDA + SIMETICONA,,10195,11295,1,AHUMADA,2023-01-20
14289,AEROTROP HFA 20MCG INH.X250DS.,D&M PHARMA S.A.,,BROMURO DE IPRATROPIO,AGENTES CONTRA PADECIMIENTOS OBSTRUCTIVOS DE LAS VIAS RESPIRATORIAS,13639,15499,2,SALCOBRAND,2023-01-20
16443,AEROTROP 20MCG. INH.BUC.250 DOSIS HFA,,,IPRATROPIO,,13837,14895,1,AHUMADA,2023-01-20
14030,AERO ITAN X20CAP.,SAVAL S.A.,,CLORDIAZEPOXIDO / METOCLOPRAMIDA / SIMETICONA,AG.CONTRA PADECIMIENTOS FUNCIONALES DEL ESTOMAGO E INSTESTINO,16543,18799,2,SALCOBRAND,2023-01-20
16510,AERO-ITAN CAJA 20 CAP.,,,CLORDIAZEPOXIDO + METOCLOPRAMIDA + SIMETICONA,,16647,18595,1,AHUMADA,2023-01-20
14018,AEROLIN LF 100MCG INH.X200DS.,GLAXO,,SALBUTAMOL,AGENTES CONTRA PADECIMIENTOS OBSTRUCTIVOS DE LAS VIAS RESPIRATORIAS,17071,19399,2,SALCOBRAND,2023-01-20
14869,AEROLIN LF 100MCG. INH. BUC. 200 DOSIS,,,SALBUTAMOL,,17167,21495,1,AHUMADA,2023-01-20
