idMedicamento,nombreMedicamento,principioActivo,accionTerapeutico
23069,2 UNIDADES EXCELLENCE TINT.N2.0 NEGRO PROFUNDO,,TINTURAS
23066,2 UNIDADES EXCELLENCE TINT.N3 CASTAÃ‘O OSCURO,,TINTURAS
23072,2 UNIDADES EXCELLENCE TINT.N6.12 R.OSCURO CENIZO PERLA,,TINTURAS
23325,2 UNIDADES NUTRISSE COR INTENSA TINTURA N6.75,,TINTURAS
23311,2 UNIDADES NUTRISSE COR N10 NEGRO INTENSO,,TINTURAS
23318,2 UNIDADES NUTRISSE COR N30 CASTANO OSCURO,,TINTURAS
23319,2 UNIDADES NUTRISSE COR N40 CASTANO MEDIO,,TINTURAS
23314,2 UNIDADES NUTRISSE COR N50 CASTANO CLARO,,TINTURAS
23322,2 UNIDADES NUTRISSE COR N6.1 RUBIO OSCURO,,TINTURAS
23315,2 UNIDADES NUTRISSE COR N60 RUBIO MEDIO,,TINTURAS
23326,2 UNIDADES NUTRISSE COR N635 CHOCOLATE NATURAL,,TINTURAS
23312,2 UNIDADES NUTRISSE COR N66 ROJO INTENSO,,TINTURAS
23313,2 UNIDADES NUTRISSE COR N67 CHOCOLATE,,TINTURAS
23317,2 UNIDADES NUTRISSE COR N70 RUBIO MEDIO,,TINTURAS
23316,2 UNIDADES NUTRISSE COR N71 RUBIO CENIZA,,TINTURAS
23327,2 UNIDADES NUTRISSE COR N73 RUBIO DORADO,,TINTURAS
23324,2 UNIDADES NUTRISSE COR N77 CASTANO CARAMELO,,TINTURAS
23320,2 UNIDADES NUTRISSE COR N80 RUBIO CLARO,,TINTURAS
23321,2 UNIDADES NUTRISSE COR N81 RUBIO CLARO CENIZA,,TINTURAS
23323,2 UNIDADES NUTRISSE COR.INT.N6.66 ROJO PASION,,TINTURAS
15863,ABACTEN 200MG/5ML. SUSP. FCO. 30ML.,AZITROMICINA,
15875,ABACTEN 500MG. CAJA 6 COMP.,AZITROMICINA,
15866,ABACTEN FORTE 400MG/5ML FCO. 30ML+SOL.,AZITROMICINA,
13544,ABECIDIN ACD GTAS.X30ML,ACIDO ASCORBICO / COLECALCIFEROL / RETINOL,VITAMINAS
16579,ABECIDIN GTS. FCO. 30ML.,ASCORBICO ACIDO + COLECALCIFEROL + RETINOL,
16675,ABETAL ODT CAJA 40MG. 2 COMP.,ELETRIPTANO,
16678,ABETAL ODT CAJA 40MG. 6 COMP. DISP.,ELETRIPTANO,
16682,"ABIOSTAL ODT 2,5MG.CAJA 10 COMP. DISP.",NARATRIPTAN,
13324,ABIRAVITAE 250MG X120COM.,ACETATO DE ABIRATERONA,TERAPIA ENDOCRINA
13254,AC. ACETILSALICILICO (B) 100MG X100COM,ACIDO ACETILSALICILICO,ANTITROMBOTICOS
13151,AC.MEFENAMICO 500MG X10COM.,ACIDO MEFENAMICO,PRODUCTOS ANTIINFLAMATORIOS Y ANTIRREUMATICOS
14967,ACANTEX 1GR. CAJA 1 VIAL I.V.,CEFTRIAXONA,
23380,ACCU CHEK FASTCLIX X102 LANCETAS,LANCETAS PARA TEST DE GLUCOSA EN SANGRE,EQUIPOS DE DIAGNOSTICO Y ACCESORIOS
23387,ACCU CHEK FASTCLIX X24 LANCETAS,LANCETAS PARA TEST DE GLUCOSA EN SANGRE,TEST DE DIAGNOSTICO
23377,ACCU CHEK GUIDE MONITOR,KIT TEST DIAGNOSTICO GLUCOSA EN SANGRE,EQUIPOS DE DIAGNOSTICO Y ACCESORIOS
23379,ACCU CHEK GUIDE X25CINTAS,CINTAS REACTIVAS PARA TEST DE GLUCOSA EN SANGRE,EQUIPOS DE DIAGNOSTICO Y ACCESORIOS
23375,ACCU CHEK GUIDE X50CINTAS,CINTAS REACTIVAS PARA TEST DE GLUCOSA EN SANGRE,EQUIPOS DE DIAGNOSTICO Y ACCESORIOS
23382,ACCU CHEK INSTANT KIT,KIT TEST DIAGNOSTICO GLUCOSA EN SANGRE,EQUIPOS DE DIAGNOSTICO Y ACCESORIOS
23383,ACCU CHEK INSTANT X25CINTAS,CINTAS REACTIVAS PARA TEST DE GLUCOSA EN SANGRE,EQUIPOS DE DIAGNOSTICO Y ACCESORIOS
23378,ACCU CHEK INSTANT X50CINTAS,CINTAS REACTIVAS PARA TEST DE GLUCOSA EN SANGRE,EQUIPOS DE DIAGNOSTICO Y ACCESORIOS
23384,ACCU CHEK LANCETERO FASTCLICK,LANCETERO PARA TEST DE GLUCOSA EN SANGRE,TEST DE DIAGNOSTICO
23381,ACCU CHEK PERFORMA X25CINTAS,CINTAS REACTIVAS PARA TEST DE GLUCOSA EN SANGRE,TEST DE DIAGNOSTICO
23376,ACCU CHEK PERFORMA X50CINTAS,CINTAS REACTIVAS PARA TEST DE GLUCOSA EN SANGRE,EQUIPOS DE DIAGNOSTICO Y ACCESORIOS
23385,ACCU CHEK SOFTCLIX LANCETERO,LANCETERO PARA TEST DE GLUCOSA EN SANGRE,EQUIPOS DE DIAGNOSTICO Y ACCESORIOS
23374,ACCU CHEK SOFTCLIX X200LANCETAS,LANCETAS PARA TEST DE GLUCOSA EN SANGRE,EQUIPOS DE DIAGNOSTICO Y ACCESORIOS
23386,ACCU CHEK SOFTCLIX X25LANCETAS,LANCETAS PARA TEST DE GLUCOSA EN SANGRE,EQUIPOS DE DIAGNOSTICO Y ACCESORIOS
14227,ACEBRON (B) 4MG X20COM.,ACENOCUMAROL,ANTITROMBOTICOS
14878,ACEBRON 4MG. CAJA 20 COMP.,ACENOCUMAROL,
16692,ACECNOU 1 SOBRES 3GR.,BETAMETASONA + LIDOCAINA + NEOMICINA + POLIMIXINA B,
23549,ACEITE DE ALMENDRAS MASAJE X125ML,0,PREPARADOS PARA EL TRATAMIENTO DE HERIDAS Y ULCERAS
23488,ACEITE DE KRILL 500MG X30CAP.,MONTELUKAST,AGENTES MODIFICADORES DE LOS LIPIDOS
23577,ACEITE DE MASAJES DE VIENTRE X60ML,0,OTROS FARMACOS QUE ACTUAN SOBRE EL SNC
13117,ACEITE RICINO PURO X20G,ACEITE DE RICINO,LAXANTES
16102,ACEMUK 100MG./5ML. JBE. FCO. 100ML.,ACETILCISTEINA,
16540,"ACEPRAN 2,5MG. FCO. 10ML.",CLONAZEPAM,
14629,ACERDIL 10MG. CAJA 30 COMP.,LISINOPRIL,
14631,ACERDIL 20MG. CAJA 30 COMP.,LISINOPRIL,
14632,ACERDIL 5MG. CAJA 30 COMP.,LISINOPRIL,
14588,ACERDIL-D CAJA 30 COMP.,HIDROCLOROTIAZIDA + LISINOPRIL,
13052,ACETAZOLAMIDA 250MG X20COM.,ACETAZOLAMIDA,DIURETICOS
16580,ACEVIT GOTAS FCO. 30ML.,ASCORBICO ACIDO + COLECALCIFEROL + RETINOL,
13259,ACICLOVIR (B) 200MG X25COM.,ACICLOVIR,ANTIVIRALES USO SISTEMICO
13633,ACICLOVIR (B) 400MG X35COM.,ACICLOVIR,ANTIVIRALES USO SISTEMICO
17078,ACICLOVIR 200 MG. 25 COMP. (LCH),ACICLOVIR,ANTIVIRAL
16624,ACICLOVIR 200MG. CAJA 25 COMP.,ACICLOVIR,
17052,ACICLOVIR 400 MG. 35 COMP. (LCH) (B),ACICLOVIR,ANTIVIRAL
16629,ACICLOVIR 400MG. CAJA 35 COMP.,ACICLOVIR,
13102,ACICLOVIR 5% CR.X15G,ACICLOVIR,ANTIBIOTICOS Y QUIMIOTERAPICOS PARA USO DERMATOLOGICO
13146,ACICLOVIR 5% CR.X5G,ACICLOVIR,ANTIBIOTICOS Y QUIMIOTERAPICOS PARA USO DERMATOLOGICO
16630,ACICLOVIR 5% CRM.POMO 15GR,ACICLOVIR,
17101,ACICLOVIR CR. 5% 15 GR. (OPK),ACICLOVIR,ANTIVIRAL TOPICO
17057,ACIDO ACETILSALICILICO 100 MG. 100 COMP. (OPK),ÁCIDO ACETIL SALICILICO,ANALGESICOS
13087,ACIDO FOLICO 1MG X30COM.,ACIDO FOLICO,ANTIANEMICOS
13274,ACIDO FOLICO 5MG X30COM.,ACIDO FOLICO,ANTIANEMICOS
17092,ACIDO MEFENAMICO 500 MG. 10 COMP. (EUR),ÁCIDO MEFENÁMICO,ANALGESICOS
16069,ACIDO MEFENAMICO 500MG. CAJA 10 COMP.,MEFENAMICO ACIDO,
13634,ACIDO VALPROICO 200MG X30COM.,ACIDO VALPROICO,ANTIEPILEPTICOS
13632,ACIDO VALPROICO 250MG X20COM.REC,ACIDO VALPROICO,ANTIEPILEPTICOS
14925,ACIDO VALPROICO 375 MG/ML GTS.FCO 25ML,VALPROICO ACIDO,
13629,ACIDO VALPROICO 500MG X30COM.,ACIDO VALPROICO,ANTIEPILEPTICOS
14926,ACIDO VALPROICO 500MG.X 30COMP.REC.,VALPROICO ACIDO,
13012,ACIDO ZOLEDRONICO 4 MG/5ML CAJ 1 FAM,ACIDO ZOLEDRONICO,FARMACOS PARA EL TRATAMIENTO DE ENFERMEDADES OSEAS
16157,ACIDO ZOLEDRONICO 4MG/5ML 1AMP.,ACIDO ZOLEDRONICO,
16156,ACLASTA 5MG/100ML SOL. INY.,ACIDO ZOLEDRONICO,
13703,ACLASTA 5MG/100ML X1VIAL,ACIDO ZOLEDRONICO,FARMACOS PARA EL TRATAMIENTO DE ENFERMEDADES OSEAS
16488,ACNERAL 20MG. CAJA 30 CAP. BLANDAS,ISOTRETINOINA,
13723,ACNOTIN (B) 10MG X30CAP.BLANDAS,ISOTRETINOINA,ANTIACNEICOS
13887,ACNOTIN (B) 20MG X30CAP.BLANDAS,ISOTRETINOINA,ANTIACNEICOS
14288,ACOTOL (B) X28COM.REC.,DIENOGEST / ETINILESTRADIOL,HORMONAS SEXUALES Y MODULADORES GENITALES
15622,ACOTOL CAJA 28 COMP. REC.,DIENOGEST + ESTRADIOL,
15447,ACTAN 20MG. CAJA 30 CAP.,FLUOXETINA,
15450,ACTAN 20MG. CAJA 60 CAP.,FLUOXETINA,
16374,"ACTEMRA 162MG/0,9ML 4 JERINGA PRELLENADA",TOCILIZUMAB,
16895,ACTEMRA 200MG/10ML.1 FCO.AMP,TOCILIZUMAB,
16375,ACTEMRA 400MG/20ML.1 FCO.AMP.,TOCILIZUMAB,
16376,ACTEMRA 80MG/4ML.1 FCO.AMP.,TOCILIZUMAB,
14791,ACTIGERON 500MG. CAJA 30 COMP.REC.,ACETIL-L-CARNITINA,
15704,"ACTISER-T 2,5GR.T 1% VIA PERCUT.30 SACH.",TESTOSTERONA,
15705,"ACTISER-T 5,0GR.T 1% VIA PERCUT.30 SACH.",TESTOSTERONA,
15660,ACTIVELLE CAJA 28 COMP.,ESTRADIOL + NORETISTERONA,
13596,ACTRAPID HM 100UI/ML 10ML X1F-A,INSULINA HUMANA,FARMACOS EN DIABETES
13576,ACTRAPID HM 100UI/ML PENFILL 3ML X5F-A,INSULINA HUMANA,FARMACOS EN DIABETES
14406,ACTRON (R) 400MG X10CAP.BLANDAS,IBUPROFENO,PRODUCTOS ANTIINFLAMATORIOS Y ANTIRREUMATICOS
15999,ACTRON 600MG. CAJA 10 CAP.BL.,IBUPROFENO,
16889,ACULAR LS SOLUCION OFTALMICA 0.4% 5ML.,KETOROLACO,
16590,ACUODE 50.000 UI X 2 SACHET,COLECALCIFEROL,
16759,ADALAT OROS 20MG. CAJA 30 COMP.,NIFEDIPINO,
16760,ADALAT OROS 30MG. CAJA 30 COMP.,NIFEDIPINO,
16761,ADALAT OROS 60MG. CAJA 20 COMP.,NIFEDIPINO,
15004,ADAPAC 0.1 % GEL DERM. POMO 30GR.,ADAPALENO,
14028,"ADAX (B) 0,5MG X30COM.",ALPRAZOLAM,PSICOLEPTICOS
14795,ADAX 0.50MG. CAJA 30 COMP,ALPRAZOLAM,
14797,ADAX 1MG. CAJA 30 COMP.,ALPRAZOLAM,
14946,ADORMIX 10MG.  CAJA 30 COMP.REC.,ZOLPIDEM,
13823,ADROXEF (B) 500MG X14CAP.,CEFADROXILO,ANTIBACTERIANOS PARA USO SISTEMICO
15887,ADROXEF 500MG. CAJA 14 CAP.,CEFUROXIMA,
15883,ADROXEF 500MG./5ML. P/SUSP X 100ML.,CEFADROXILO,
14245,ADROXEF 500MG/5ML S.O.X100ML,CEFADROXILO,ANTIBACTERIANOS PARA USO SISTEMICO
15880,ADROXEF POLVO P/SUSP.250MG./5ML. 100ML.,CEFADROXILO,
13276,AERIUS (B) 2.5MG/5ML S.O X150ML,DESLORATADINA,ANTIHISTAMINICOS PARA USO SISTEMICO
13195,AERIUS (R) 5MG X30COM.,DESLORATADINA,ANTIHISTAMINICOS PARA USO SISTEMICO
15921,AERIUS 2.5MG./5ML SLN. ORAL FCO. 120ML.,DESLORATADINA,
13286,AERIUS 2.5MG/5ML JB X120ML,DESLORATADINA,ANTIHISTAMINICOS PARA USO SISTEMICO
16880,AERIUS 5MG. CAJA 30 COMP.,DESLORATADINA,
14030,AERO ITAN X20CAP.,CLORDIAZEPOXIDO / METOCLOPRAMIDA / SIMETICONA,AG.CONTRA PADECIMIENTOS FUNCIONALES DEL ESTOMAGO E INSTESTINO
16510,AERO-ITAN CAJA 20 CAP.,CLORDIAZEPOXIDO + METOCLOPRAMIDA + SIMETICONA,
15217,AEROGASTROL CAJA 20 CAP.,CLORDIAZEPOXIDO + METOCLOPRAMIDA + SIMETICONA,
16449,AEROLIN 0.5MG. CAJA 5 AMP. 1ML.,SALBUTAMOL,
14018,AEROLIN LF 100MCG INH.X200DS.,SALBUTAMOL,AGENTES CONTRA PADECIMIENTOS OBSTRUCTIVOS DE LAS VIAS RESPIRATORIAS
14869,AEROLIN LF 100MCG. INH. BUC. 200 DOSIS,SALBUTAMOL,
16443,AEROTROP 20MCG. INH.BUC.250 DOSIS HFA,IPRATROPIO,
14289,AEROTROP HFA 20MCG INH.X250DS.,BROMURO DE IPRATROPIO,AGENTES CONTRA PADECIMIENTOS OBSTRUCTIVOS DE LAS VIAS RESPIRATORIAS
14816,AEROVIAL 200MCG. INH. BUC. 200 DOSIS,BUDESONIDA,
15753,AFLAREX 0.1% SUSP. OFT. FCO. 5ML.,FLUOROMETOLONA,
23603,AGE PERFECT RENAC.CELULAR CR.DIA F15 X50,,CREMAS FACIALES (MASIVAS)
23602,AGE PERFECT RENAC.CELULAR CR.NOCHE X50ML,,CREMAS FACIALES (MASIVAS)
15033,AGGLAD OFTENO 0.2% COL. FCO. 5ML.,BRIMONIDINA,
13170,AGUA BIDESTILADA X500ML,AGUA BIDESTILADA,SOLUCIONES INTRAVENOSAS
13166,AGUA PARA INYECTABLES 10ML X5AMP,AGUA BIDESTILADA,SOLUCIONES INYECTABLES / INFUSIONES ADITIVAS (< 100 ML)
13167,AGUA PARA INYECTABLES 5ML X5AMP,AGUA BIDESTILADA,SOLUCIONES INYECTABLES / INFUSIONES ADITIVAS (< 100 ML)
15726,ALCON CILO-DEX SUSP. OFT. FCO. 5ML.,CIPROFLOXACINA + DEXAMETASONA,
13531,ALDROX (B) 70MG X10COM.REC.,ACIDO ALENDRONICO,FARMACOS PARA EL TRATAMIENTO DE ENFERMEDADES OSEAS
16159,ALDROX 70MG. CAJA 10 COMP. REC.,ALENDRONATO,
14151,"ALENYS 27,5MCG SUSP.NAS.X120DS.",FLUTICASONA,PREPARADOS DE USO NASAL
16733,"ALENYS 27,5MCG. X 120 DOSIS",FLUTICASONA FUROATO,
15511,ALERTEX 100MG. CAJA 30 COMP.,MODAFINILO,
15515,ALERTEX 200MG. CAJA 30 COMP.,MODAFINILO,
15889,ALERTOP 5MG./5ML. SOL. ORAL X 120ML,CETIRIZINA,
13400,ALERXO (B) 120MG X30COM.REC,FEXOFENADINA,ANTIHISTAMINICOS PARA USO SISTEMICO
13401,ALERXO (B) 180MG X30COM.REC,FEXOFENADINA,ANTIHISTAMINICOS PARA USO SISTEMICO
14424,ALEXIA (B) 120MG X30COM.,FEXOFENADINA,ANTIHISTAMINICOS PARA USO SISTEMICO
14303,ALEXIA FTE.(B) 180MG X10COM.REC.,FEXOFENADINA,ANTIHISTAMINICOS PARA USO SISTEMICO
14425,ALEXIA FTE.(B) 180MG X30COM.REC.,FEXOFENADINA,ANTIHISTAMINICOS PARA USO SISTEMICO
14561,ALFADOXIN COMPRIMIDOS RECUBIERTOS 4 MG,DOXAZOSINA,
15813,ALFIN 100MG. CAJA 1 COMP.,SILDENAFIL,
15822,ALFIN 50MG. CAJA 1 COMP.,SILDENAFIL,
15827,ALFIN 50MG. CAJA 5 COMP.,SILDENAFIL,
15556,ALIVAX 150MG. CAJA 30CAP.,PREGABALINA,
23631,ALLBRIEFS APOSITO TRANSPARENTE X3,,PRIMEROS AUXILIOS
23630,ALLBRIEFS BOTIQUIN,,PRIMEROS AUXILIOS
23642,ALLBRIEFS CINTA PAPEL 2.5CMX9MT,,PRIMEROS AUXILIOS
23677,ALLBRIEFS LENTE OPTICO XA1901008 BLACK #,,LENTES DE LECTURA
23678,ALLBRIEFS LENTE OPTICO XA1901008 BLACK #,,LENTES DE LECTURA
23680,ALLBRIEFS LENTE OPTICO XA1901008 BLACK #,,LENTES DE LECTURA
23681,ALLBRIEFS LENTE OPTICO XA1901008 BLACK #,,LENTES DE LECTURA
23682,ALLBRIEFS LENTE OPTICO XA1901008 BLUE #0,,LENTES DE LECTURA
23683,ALLBRIEFS LENTE OPTICO XA1901008 BLUE #1,,LENTES DE LECTURA
23684,ALLBRIEFS LENTE OPTICO XA1901008 BLUE #1,,LENTES DE LECTURA
23676,ALLBRIEFS LENTE OPTICO XA1901008 BLUE #2,,LENTES DE LECTURA
23685,ALLBRIEFS LENTE OPTICO XA1901008 BLUE #2,,LENTES DE LECTURA
23674,ALLBRIEFS LENTE OPTICO XA1901008 BROWN,,LENTES DE LECTURA
23671,ALLBRIEFS LENTE OPTICO XA1901008 BROWN #,,LENTES DE LECTURA
23672,ALLBRIEFS LENTE OPTICO XA1901008 BROWN #,,LENTES DE LECTURA
23673,ALLBRIEFS LENTE OPTICO XA1901008 BROWN #,,LENTES DE LECTURA
23675,ALLBRIEFS LENTE OPTICO XA1901008 BROWN #,,LENTES DE LECTURA
23679,ALLBRIEFS LENTE OPTICO XA19010087 BLACK,,LENTES DE LECTURA
23666,ALLBRIEFS LENTE OPTICO YA1902001 BLACK #,,LENTES DE LECTURA
23667,ALLBRIEFS LENTE OPTICO YA1902001 BLACK #,,LENTES DE LECTURA
23668,ALLBRIEFS LENTE OPTICO YA1902001 BLACK #,,LENTES DE LECTURA
23669,ALLBRIEFS LENTE OPTICO YA1902001 BLACK #,,LENTES DE LECTURA
23670,ALLBRIEFS LENTE OPTICO YA1902001 BLACK #,,LENTES DE LECTURA
23659,ALLBRIEFS LENTE OPTICO YA1902001 BROWN,,LENTES DE LECTURA
23656,ALLBRIEFS LENTE OPTICO YA1902001 BROWN #,,LENTES DE LECTURA
23657,ALLBRIEFS LENTE OPTICO YA1902001 BROWN #,,LENTES DE LECTURA
23658,ALLBRIEFS LENTE OPTICO YA1902001 BROWN #,,LENTES DE LECTURA
23660,ALLBRIEFS LENTE OPTICO YA1902001 BROWN #,,LENTES DE LECTURA
23662,ALLBRIEFS LENTE OPTICO YA1902001 RED #00,,LENTES DE LECTURA
23664,ALLBRIEFS LENTE OPTICO YA1902001 RED #1.,,LENTES DE LECTURA
23665,ALLBRIEFS LENTE OPTICO YA1902001 RED #1.,,LENTES DE LECTURA
23661,ALLBRIEFS LENTE OPTICO YA1902001 RED #2.,,LENTES DE LECTURA
23663,ALLBRIEFS LENTE OPTICO YA1902001 RED #2.,,LENTES DE LECTURA
23792,ALLBRIEFS PCHE.CURITA X20,,PRIMEROS AUXILIOS
16050,ALLEDRYL 5MG./5ML. JARABE FCO. 60ML.,LORATADINA,
14040,ALLEDRYL D JBE.X120ML,LORATADINA / PSEUDOEFEDRINA,ANTIHISTAMINICOS PARA USO SISTEMICO
16058,ALLEDRYL-D CAJA 20 CAP.,LORATADINA + PSEUDOEFEDRINA,
16057,ALLEDRYL-D JARABE FCO. 120ML.,LORATADINA + PSEUDOEFEDRINA,
13814,ALLEGRA (R) 120MG X30COM.REC.,FEXOFENADINA,ANTIHISTAMINICOS PARA USO SISTEMICO
13837,ALLEGRA 180MG X30COM.REC.,FEXOFENADINA,ANTIHISTAMINICOS PARA USO SISTEMICO
14792,ALODIL 25MG.CAJA 30 COMP. REC.,AGOMELATINA,
13877,ALOE FEROX 150MG X24CAP.,0,LAXANTES
23502,ALOE VERA GEL X90CAP.,ALOE VERA,LAXANTES
23491,ALOE VERA GEL X946ML,ALOE VERA,LAXANTES
13430,ALONDRA (B) X30COM.REC.,DIENOGEST,HORMONAS SEXUALES Y MODULADORES GENITALES
15619,ALONDRA CAJA 30 COMP. REC.,DIENOGEST,
13096,ALOPURINOL (B) 100MG X20COM.,ALOPURINOL,ANTIGOTOSOS
13099,ALOPURINOL (B) 300MG X20COM.,ALOPURINOL,ANTIGOTOSOS
17014,ALOPURINOL 100 MG. 20 COMP. (OPK) (B),ALOPURINOL,ANTIGOTOSO
16165,ALOPURINOL 100MG. CAJA 20 COMP.,ALOPURINOL,
17018,ALOPURINOL 300 MG. 20 COMP. (MNT) (B),ALOPURINOL,ANTIGOTOSO
16167,ALOPURINOL 300MG. CAJA 20 COMP.,ALOPURINOL,
16776,ALPHAGAN P 0.15%  FCO. 5ML.,BRIMONIDINA,
13156,ALPRAZOLAM (B) 0.50MG X30COM.,ALPRAZOLAM,PSICOLEPTICOS
14794,ALPRAZOLAM 0.5MG. CAJA 30 COMP.,ALPRAZOLAM,
16606,ALTA ZINC 10MG. CAJA 40 COMP.,ZINC,
16609,ALTA ZINC 15MG. CAJA 40 COMP.,ZINC,
16613,ALTA ZINC 5MG./30ML. SOL. ORAL 30ML.,ZINC,
13209,ALTAZINC 10MG X40COM.,ZINC,SUPLEMENTOS MINERALES
13210,ALTAZINC 15MG X40COM.,ZINC,SUPLEMENTOS MINERALES
13208,ALTAZINC 5MG/ML GTAS.X30ML,ZINC,SUPLEMENTOS MINERALES
13211,ALTAZINC SOL.ORAL 2.5MG/5ML X120ML,ZINC,SUPLEMENTOS MINERALES
16610,"ALTA_ZINC 2,5MG./5ML. 120ML.",ZINC,
13225,ALTRULINE (R) 100MG X30COM.,SERTRALINA,PSICOANALEPTICOS
13226,ALTRULINE (R) 50MG X30COM.,SERTRALINA,PSICOANALEPTICOS
13224,ALTRULINE (R) 50MG X60COM.,SERTRALINA,PSICOANALEPTICOS
16835,ALTRULINE 100MG. CAJA 30 COMP. REC.,SERTRALINA,
15607,ALTRULINE 50MG. CAJA 30 COMP. REC.,SERTRALINA,
15608,ALTRULINE 50MG. CAJA 60 COMP. REC.,SERTRALINA,
15778,AMARILLA 2% UGTO. OFT. POMO 4GR.,MERCURIO,
14741,AMARYL 2MG. CAJA 30 COMP.,GLIMEPIRIDA,
14742,AMARYL 4MG. CAJA 30 COMP.,GLIMEPIRIDA,
13882,AMATO (B) 100MG X60COM.REC,TOPIRAMATO,ANTIEPILEPTICOS
14190,AMATO (B) 25MG 60 XCOM.REC.,TOPIRAMATO,ANTIEPILEPTICOS
13947,AMATO (B) 50MG 60 XCOM.REC.,TOPIRAMATO,ANTIEPILEPTICOS
14899,AMATO 100 MG. 60 COMP. REC.,TOPIRAMATO,
14908,AMATO 50 MG. 60 COMP. REC.,TOPIRAMATO,
15855,AMBILAN BID 875/125 14 COMP. DISP.,AMOXICILINA + CLAVULANICO ACIDO,
15859,AMBILAN BID 875/125 20 COMP DISP,AMOXICILINA + CLAVULANICO ACIDO,
13269,AMBROXOL 30MG/5ML JBE.X100ML,AMBROXOL CLORHIDRATO,PREPARADOS PARA LA TOS Y EL RESFRIADO
13030,AMIKACINA 500MG/2ML X5AMP.,AMIKACINA,ANTIBACTERIANOS PARA USO SISTEMICO
23421,AMINO   POLVO X365G,0,SUPLEMENTOS
13246,AMIODARONA (B) 200MG X20COM.,AMIODARONA,TERAPIA CARDIACA
13066,AMITRIPTILINA (B) 25MG X100COM.,AMITRIPTILINA,PSICOANALEPTICOS
13164,AMITRIPTILINA (B) 25MG X24COM.,AMITRIPTILINA,PSICOANALEPTICOS
